director,genre,level,rating,runtime,studio,time,title,url,writer
Howard Hall,Documentary,G,94%,41 minutes,IMAX/Warner Bros.,"Feb 13, 2009",Under the Sea 3D,https://www.rottentomatoes.com/m/1203291_under_the_sea_3d,Howard HallToni MyersGraeme Ferguson
Shane Meadows,Art House & InternationalComedyDrama,NR,96%,75 minutes,Film Movement,"Jul 15, 2009",Somers Town,https://www.rottentomatoes.com/m/somers_town,Paul Fraser
Andrzej Wajda,Art House & InternationalDrama,NR,94%,121 minutes,Artificial Eye,"Feb 18, 2009",Katyn,https://www.rottentomatoes.com/m/1207748_katyn,Andrzej WajdaPrzemyslaw NowakowskiWladyslaw Pasikowski
Judith EhrlichRick Goldsmith,Documentary,NR,96%,93 minutes,First Run Features,"Jun 1, 2009",Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,https://www.rottentomatoes.com/m/daniel_ellsberg_doc,Lawrence LerewRick GoldsmithJudith EhrlichMichael Chandler
Sergei DvortsevoySergey DvortsevoySergay Dvortsevoy,Art House & InternationalComedyDrama,G,96%,100 minutes,Zeitgeist Films,"Apr 1, 2009",Tulpan,https://www.rottentomatoes.com/m/tulpan,Sergei DvortsevoyGennadiy OstrovskiySergey Dvortsevoy
Ruben Fleischer,ComedyHorror,R (for horror violence/gore and language),90%,88 minutes,Sony/Columbia Pictures,"Oct 2, 2009",Zombieland,https://www.rottentomatoes.com/m/zombieland,Rhett ReesePaul Wernick
Götz Spielmann,Art House & InternationalDramaRomance,NR,96%,121 minutes,Janus Films,"May 1, 2009",Revanche,https://www.rottentomatoes.com/m/revanche,Götz Spielmann
Robert Kenner,DocumentarySpecial Interest,PG (for some thematic material and disturbing images),95%,94 minutes,Magnolia Pictures,"Jun 12, 2009","Food, Inc.",https://www.rottentomatoes.com/m/food_inc,Robert KennerElise PearlsteinKim Roberts
Lee Daniels,Drama,"R (for child abuse including sexual assault, and pervasive language)",91%,110 minutes,Lionsgate Films,"Nov 6, 2009",Precious: Based on the Novel Push by Sapphire,https://www.rottentomatoes.com/m/precious,Lee DanielsGeoffrey S. Fletcher
Quentin Tarantino,Action & AdventureDrama,"R (for strong graphic violence, language and brief sexuality)",88%,153 minutes,The Weinstein Company,"Aug 21, 2009",Inglourious Basterds,https://www.rottentomatoes.com/m/inglourious_basterds,Quentin Tarantino
Henry Selick,Action & AdventureAnimationKids & FamilyScience Fiction & Fantasy,"PG (for thematic elements, scary images, some language and suggestive humor)",90%,101 minutes,Focus Features,"Feb 6, 2009",Coraline,https://www.rottentomatoes.com/m/coraline,Henry Selick
Adam Elliot,AnimationComedyDrama,G,95%,92 minutes,IFC Films,"Jan 15, 2009",Mary and Max,https://www.rottentomatoes.com/m/1209767_mary_and_max,Adam Elliot
Joe Berlinger,DocumentarySpecial Interest,NR,95%,100 minutes,First Run Features,"Feb 23, 2010",Crude,https://www.rottentomatoes.com/m/10011003_crude,
Lucien Castaing-TaylorIlisa Barbash,DocumentarySpecial InterestWestern,NR,97%,105 minutes,Cinema Guild,"Aug 3, 2010",Sweetgrass,https://www.rottentomatoes.com/m/sweetgrass,
Majid Majidi,Art House & InternationalDrama,PG (for brief mild language),98%,96 minutes,Regent Releasing,"Apr 3, 2009",Avaze gonjeshk-ha (The Song of Sparrows),https://www.rottentomatoes.com/m/song_of_sparrows,Majid MajidiMehran Kashani
Armando Iannucci,Art House & InternationalComedy,NR,94%,102 minutes,IFC,"Jul 24, 2009",In the Loop,https://www.rottentomatoes.com/m/in_the_loop,Simon BlackwellJesse ArmstrongTony RocheArmando Iannucci
Jason Reitman,ComedyDramaRomance,R (for language and some sexual content),91%,109 minutes,Paramount Pictures,"Dec 4, 2009",Up in the Air,https://www.rottentomatoes.com/m/up_in_the_air_2009,Sheldon TurnerJason Reitman
Neill Blomkamp,Action & AdventureArt House & InternationalDramaScience Fiction & Fantasy,R (for bloody violence and pervasive language),90%,112 minutes,Sony Pictures/Screen Gems,"Aug 14, 2009",District 9,https://www.rottentomatoes.com/m/district_9,Neill BlomkampTerri Tatchell
Sam Raimi,HorrorMystery & Suspense,"PG-13 (for sequences of horror violence, terror, disturbing images and language)",92%,99 minutes,Universal Pictures,"May 29, 2009",Drag Me to Hell,https://www.rottentomatoes.com/m/drag_me_to_hell,Sam RaimiIvan Raimi
Lone Scherfig,Art House & InternationalDrama,"PG-13 (for mature thematic material involving sexual content, and for smoking)",95%,101 minutes,Sony Classics,"Oct 9, 2009",An Education,https://www.rottentomatoes.com/m/an_education,Nick Hornby
Havana Marking,Art House & InternationalDocumentaryMusical & Performing ArtsSpecial InterestTelevision,NR,100%,87 minutes,Zeitgeist Films,"Mar 30, 2010",Afghan Star,https://www.rottentomatoes.com/m/afghan_star,
Sacha Gervasi,DocumentaryDramaMusical & Performing Arts,NR,98%,90 minutes,Abramorama,"Oct 6, 2009",Anvil! The Story of Anvil,https://www.rottentomatoes.com/m/anvil_the_story_of_anvil,
J.J. Abrams,Action & AdventureDramaScience Fiction & Fantasy,PG-13 (for sci-fi action and violence and brief sexual content),94%,127 minutes,IMAX,"May 7, 2009",Star Trek,https://www.rottentomatoes.com/m/star_trek_11,Gene RoddenberryAlex KurtzmanRoberto Orci
Kathryn Bigelow,Action & AdventureDrama,R (for war violence and language),97%,131 minutes,Summit Entertainment,"Jun 26, 2009",The Hurt Locker,https://www.rottentomatoes.com/m/hurt_locker,Mark Boal
Pete DocterBob Peterson,Action & AdventureAnimationComedyKids & Family,PG (for some peril and action),98%,89 minutes,Walt Disney Pictures,"May 29, 2009",Up,https://www.rottentomatoes.com/m/up,Bob PetersonPete DocterTom McCarthyRonnie del Carmen
Marc Forster,Action & AdventureDramaMystery & Suspense,"PG-13 (for intense sequences of violence and action, and some sexual content)",65%,105 minutes,Sony/MGM,"Nov 14, 2008",Quantum of Solace,https://www.rottentomatoes.com/m/quantum_of_solace,Neal PurvisRobert WadePaul Haggis
Patricia Riggen,Drama,PG-13 (for some mature thematic elements),73%,109 minutes,The Weinstein Company,"Mar 19, 2008",Under the Same Moon,https://www.rottentomatoes.com/m/under_the_same_moon_2008,Ligiah Villalobos
Lucrecia Martel,Art House & InternationalDramaMystery & Suspense,NR,75%,87 minutes,Strand Releasing,"May 21, 2008",La Mujer sin Cabeza (The Headless Woman),https://www.rottentomatoes.com/m/headless_woman,Lucrecia Martel
Louie Psihoyos,Documentary,PG-13 (for disturbing content),95%,91 minutes,Roadside Attractions,"Apr 25, 2009",The Cove,https://www.rottentomatoes.com/m/1208882_cove,Mark Monroe
Claude Chabrol,Art House & InternationalComedyMystery & Suspense,NR,74%,114 minutes,IFC First Take,"Aug 14, 2008",La Fille Coupée en Deux (The Girl Cut in Two) (A Girl Cut in Two),https://www.rottentomatoes.com/m/girl_cut_in_two,Claude ChabrolCécile Maistre
Wes Anderson,Action & AdventureAnimationComedyKids & Family,"PG (for action, smoking and slang humor)",92%,87 minutes,20th Century Fox,"Nov 25, 2009",Fantastic Mr. Fox,https://www.rottentomatoes.com/m/1197696_fantastic_mr_fox,Wes AndersonNoah Baumbach
Nuri Bilge Ceylan,Art House & InternationalDramaMystery & Suspense,NR,77%,109 minutes,Zeitgeist Films,"May 15, 2008",Üç Maymun (Three Monkeys),https://www.rottentomatoes.com/m/three_monkeys,Nuri Bilge CeylanEbru CeylanErcan Kesal
Céline Sciamma,Art House & InternationalComedyDramaSpecial Interest,NR,78%,85 minutes,Koch Lorber Films,"Apr 4, 2008",Water Lilies,https://www.rottentomatoes.com/m/water_lilies,Céline Sciamma
David Fincher,DramaScience Fiction & FantasyRomance,"PG-13 (for brief war violence, sexual content and smoking)",71%,166 minutes,Paramount,"Dec 25, 2008",The Curious Case of Benjamin Button,https://www.rottentomatoes.com/m/curious_case_of_benjamin_button,Eric RothRobin Swicord
Steven Soderbergh,Drama,R (for some violence),79%,135 minutes,IFC Films,"Dec 12, 2008",Che: Part Two (Guerrilla),https://www.rottentomatoes.com/m/che_part_two,Peter BuchmanBenjamin A. van der VeenSteven Soderbergh
Peter Sollett,Comedy,"PG-13 (for mature thematic material including teen drinking, sexuality, language and crude behavior)",74%,89 minutes,Sony Pictures/Screen Gems,"Oct 3, 2008",Nick and Norah's Infinite Playlist,https://www.rottentomatoes.com/m/nick_and_norahs_infinite_playlist,Lorene Scafaria
Phil DonahueEllen Spiro,DocumentarySpecial Interest,NR,80%,87 minutes,Phil Donahue Enterprises,"Mar 19, 2008",Body of War,https://www.rottentomatoes.com/m/body_of_war,
Antonio Campos,Drama,NR,80%,106 minutes,IFC Films,"May 18, 2008",Afterschool,https://www.rottentomatoes.com/m/afterschool,Antonio Campos
Adam Brooks,ComedyRomance,"PG-13 (for sexual content, including some frank dialogue, language and smoking)",71%,112 minutes,Universal Pictures,"Jan 24, 2008","Definitely, Maybe",https://www.rottentomatoes.com/m/1174278_definitely_maybe,Adam Brooks
Claude Miller,Drama,NR,80%,105 minutes,Strand Releasing,"Jun 5, 2008",Un Secret (A Secret),https://www.rottentomatoes.com/m/un_secret,Claude MillerNatalie Carter
Doris Dörrie,Art House & InternationalDramaRomance,NR,80%,124 minutes,Strand Releasing,"Feb 11, 2008",Kirschblüten - Hanami (Cherry Blossoms),https://www.rottentomatoes.com/m/cherry_blossoms_hanami,Doris Dörrie
Jirí Menzel,Art House & InternationalComedyDramaRomance,R (for sexual content and nudity),79%,120 minutes,Sony Pictures Classics,"Aug 29, 2008",I Served the King of England,https://www.rottentomatoes.com/m/i_served_the_king_of_england,Jirí Menzel
Kar-Wai Wong,Action & AdventureArt House & International,R (for some violence),79%,94 minutes,Sony Pictures Classics,"Oct 10, 2008",Ashes of Time Redux,https://www.rottentomatoes.com/m/ashes_of_time_redux_2008,Kar-Wai Wong
Michel Hazanavicius,Action & AdventureArt House & InternationalComedy,NR,76%,99 minutes,Music Box Films,"May 9, 2008","OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",https://www.rottentomatoes.com/m/1197120_oss_117_cairo_nest_of_spies,Jean François HalinMichel Hazanavicius
Michel GondryLeos CaraxBong Joon Ho,Art House & InternationalComedyDrama,NR,76%,112 minutes,Vitagraph Films,"May 14, 2008",Tokyo!,https://www.rottentomatoes.com/m/10010237_tokyo,Michel GondryLeos CaraxBong Joon HoGabrielle Bell
Isabel Coixet,Drama,"R (for sexuality, nudity and language)",74%,112 minutes,MGM,"Feb 10, 2008",Elegy,https://www.rottentomatoes.com/m/1194209_elegy,Jean-Claude LarrieuNicholas Meyer
Timur Bekmambetov,Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"R (for strong bloody violence throughout, pervasive language and some sexuality)",71%,110 minutes,Universal Pictures,"Jun 12, 2008",Wanted,https://www.rottentomatoes.com/m/1174279_wanted,J.G. JonesChris MorganDerek HaasMichael Brandt
Jay DuplassMark Duplass,ComedyDrama,"R (for language, some sexual content and nudity)",79%,88 minutes,Sony Pictures Classics,"Jun 13, 2008",Baghead,https://www.rottentomatoes.com/m/baghead,Jay DuplassMark Duplass
Irena Salina,DocumentarySpecial Interest,G,81%,84 minutes,New Day Films,"Dec 9, 2008",Flow: For Love of Water,https://www.rottentomatoes.com/m/flow_for_love_of_water,
Bharat Nalluri,ComedyDrama,PG-13 (for some partial nudity and innuendo),77%,92 minutes,Focus Features,"Mar 7, 2008",Miss Pettigrew Lives for a Day,https://www.rottentomatoes.com/m/miss_pettigrew_lives_for_a_day,David MageeSimon Beaufoy
Christian Petzold,Art House & InternationalDramaMystery & SuspenseRomance,NR,81%,89 minutes,The Cinema Guild,"May 16, 2008",Yella,https://www.rottentomatoes.com/m/yella,Christian Petzold
Brett Morgen,AnimationDocumentaryDrama,R (for language and brief sexual images),80%,100 minutes,Roadside Attractions,"Feb 27, 2008",Chicago 10,https://www.rottentomatoes.com/m/chicago_10,Brett Morgen
Rod Lurie,DramaMystery & Suspense,"R (for language, some sexual material and a scene of violence)",81%,107 minutes,Yari Film Group,"Sep 8, 2008",Nothing But the Truth,https://www.rottentomatoes.com/m/nothing_but_the_truth_2008,Rod Lurie
Errol Morris,DocumentarySpecial Interest,"R (for disturbing images and content involving torture and graphic nudity, and for language)",79%,118 minutes,Sony Pictures Classics,"Apr 25, 2008",Standard Operating Procedure,https://www.rottentomatoes.com/m/standard_operating_procedure,Errol Morris
David Wain,Comedy,"R (for crude and sexual content, strong language and nudity)",77%,99 minutes,Universal Pictures,"Nov 7, 2008",Role Models,https://www.rottentomatoes.com/m/role_models,David WainKen MarinoPaul RuddTim Dowling
Patricia Rozema,ComedyDramaKids & Family,G,80%,94 minutes,Picturehouse,"Jun 20, 2008",Kit Kittredge: An American Girl,https://www.rottentomatoes.com/m/kit_kittredge_an_american_girl,Ann Peacock
Steve Jacobs,Art House & InternationalDrama,"R (for sexual content, nudity, some violence and brief language)",83%,118 minutes,Maximum Film Distribution,"Sep 6, 2008",Disgrace,https://www.rottentomatoes.com/m/disgrace,Anna Maria Monticelli
Matt Reeves,Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for violence, terror and disturbing images)",77%,84 minutes,Paramount,"Jan 16, 2008",Cloverfield,https://www.rottentomatoes.com/m/cloverfield,Drew GoddardCrew Goodard
Mark Waters (VIII),Action & AdventureDramaScience Fiction & Fantasy,"PG (for scary creature action and violence, peril and some thematic elements)",80%,97 minutes,Paramount Pictures,"Jan 31, 2008",The Spiderwick Chronicles,https://www.rottentomatoes.com/m/spiderwick_chronicles,John SaylesKarey KirkpatrickDavid Berenbaum
Ed Harris,Action & AdventureWestern,R (for some violence and language),76%,115 minutes,Warner Bros. Pictures,"Oct 3, 2008",Appaloosa,https://www.rottentomatoes.com/m/10008785_appaloosa,Robert Knott
Alex Holdridge,Art House & InternationalComedyDrama,NR,84%,90 minutes,IFC First Take,"Aug 1, 2008",In Search of a Midnight Kiss,https://www.rottentomatoes.com/m/in_search_of_a_midnight_kiss,Alex HoldridgeAlex Holdridge
Marina Zenovich,DocumentaryMusical & Performing ArtsSpecial Interest,NR,85%,100 minutes,ThinkFilm,"Jul 18, 2008",Roman Polanski: Wanted and Desired,https://www.rottentomatoes.com/m/roman_polanski_wanted_and_desired,Marina ZenovichJoe BiniP.G. Morgan
Joseph Cedar,Action & AdventureDrama,NR,85%,131 minutes,Kino International,"Jan 18, 2008",Beaufort,https://www.rottentomatoes.com/m/beaufort,Joseph CedarRon Leshem
Joel CoenEthan Coen,ComedyDrama,"R (for pervasive language, some sexual content and violence)",78%,96 minutes,Focus Features,"Aug 27, 2008",Burn After Reading,https://www.rottentomatoes.com/m/burn_after_reading,Joel CoenEthan Coen
Mabrouk El Mechri,Action & AdventureComedy,R (for language and some violence),84%,92 minutes,Peach Arch Entertainment/Vitagraph Films,"Jun 4, 2008",JCVD (Van Dammage),https://www.rottentomatoes.com/m/jcvd,Sidonie DumasFrédéric BénudisChristophe TurpinMabrouk El Mechri
James Gray,DramaRomance,"R (for language, some sexuality and brief drug use)",82%,100 minutes,Magnolia Pictures,"May 19, 2008",Two Lovers,https://www.rottentomatoes.com/m/two_lovers,Richard MenelloJames GrayRic Menello
John Patrick Shanley,Drama,PG-13 (for thematic material),80%,104 minutes,Miramax,"Dec 12, 2008",Doubt,https://www.rottentomatoes.com/m/doubt,John Patrick Shanley
Ole Christian Madsen,Action & AdventureArt House & InternationalDramaMystery & Suspense,NR,86%,132 minutes,IFC Films,"Mar 28, 2008",Flammen & Citronen (Flame & Citron) (The Flame and the Lemon),https://www.rottentomatoes.com/m/flammen_and_citronen,Lars K. AndersenOle Christian Madsen
Jean-Pierre DardenneLuc Dardenne,Art House & InternationalDrama,"R (for brief sexuality/nudity, and language)",85%,105 minutes,Sony Pictures Classics,"May 19, 2008",Lorna's Silence,https://www.rottentomatoes.com/m/lornas_silence,Jean-Pierre DardenneLuc Dardenne
Steve MartinoJimmy Hayward,Action & AdventureAnimationKids & Family,G,79%,86 minutes,20th Century Fox,"Mar 3, 2008",Dr. Seuss' Horton Hears a Who!,https://www.rottentomatoes.com/m/horton_hears_a_who2008,Cinco PaulKen Daruio
Roger Donaldson,DramaMystery & Suspense,"R (for sexual content, nudity, violence and language)",79%,111 minutes,Lionsgate,"Feb 19, 2008",The Bank Job,https://www.rottentomatoes.com/m/1189844_the_bank_job,Ian La FrenaisDick Clement
Kari Skogland,Action & AdventureDrama,"R (for strong brutal violence and torture, language and some sexuality)",83%,118 minutes,Phase 4 Films,"Sep 10, 2008",Fifty Dead Men Walking,https://www.rottentomatoes.com/m/1216067_fifty_dead_men_walking,Kari SkoglandNicholas Davies
Uli Edel,Action & AdventureArt House & InternationalDrama,"R (for strong bloody violence, disturbing images, sexual content, graphic nudity and language)",85%,149 minutes,Vitagraph Films,"Sep 25, 2008",Der Baader Meinhof Komplex (The Baader Meinhof Complex),https://www.rottentomatoes.com/m/baader_meinhof_complex,Uli EdelBernd Eichinger
Steven Spielberg,Action & Adventure,PG-13 (for adventure violence and scary images),78%,122 minutes,Paramount Pictures,"May 22, 2008",Indiana Jones and the Kingdom of the Crystal Skull,https://www.rottentomatoes.com/m/indiana_jones_and_the_kingdom_of_the_crystal_skull,David Koepp
Woody Allen,ComedyDramaRomance,"PG-13 (for mature thematic material involving sexuality, and smoking)",81%,96 minutes,The Weinstein Co.,"May 17, 2008",Vicky Cristina Barcelona,https://www.rottentomatoes.com/m/vicky_cristina_barcelona,Woody Allen
Etgar KeretShira Geffen,ComedyDrama,NR,87%,78 minutes,Zeitgeist Films,"Apr 4, 2008",Meduzot (Jellyfish),https://www.rottentomatoes.com/m/meduzot,Shira Geffen
